fecha_factura,ingreso_al_sistema,doc,documento,proveedor,documento_1,valor_base,valor_iva,valor_total,plazo,fecha_vencimiento,mes,ano,dias_cartera,rte_fuente,rte_ica,descuentos,rte_fuente_1,rte_ica_1,total_abonos,saldo_a_pagar,unnamed_21,unnamed_22,unnamed_23,unnamed_24,total_abonado,n_abonos,ultimo_abono,saldo_pendiente,dias_por_pagar,dias_vencido,tramo_aging
2026-01-15,2026-01-16,R,29496,Infantiles ABBA,0,7277104.0,0.0,7277104.0,30.0,2026-02-14,2.0,2026.0,0.0,SI,NO,363855.2,0.0,0.0,6913249.0,-0.2,,,,,6913249.0,2.0,2026-02-03,363855.0,-157,157,vencida_>90
2026-01-20,2026-01-22,F,FG9102,Laboratorio San Jorge SAS,0,70688403.0,2180086.0,72868489.0,0.0,2026-01-20,1.0,2026.0,0.0,SI,SI,,1767210.075,544300.7031,70556978.0,-0.2781000002,,,,,70556978.0,2.0,2026-01-17,2311511.0,-182,182,vencida_>90
2026-01-15,2026-01-19,F,FE27418,Farmadisa,0,1108366.0,210590.0,1318956.0,60.0,2026-03-16,3.0,2026.0,0.0,NO,NO,,0.0,0.0,1318956.0,0.0,,,,,1318956.0,1.0,2026-03-16,0.0,-127,127,pagada
2026-01-18,2026-01-19,F,BF666450,Tecnoquimicas,0,26373087.0,5010886.0,31383973.0,35.0,2026-02-22,2.0,2026.0,0.0,NO,NO,,0.0,0.0,31383973.0,0.0,,,,,31383973.0,1.0,2026-02-17,0.0,-149,149,pagada
2026-01-19,2026-01-22,F,FE538414,Distribuidora Negociemos Pharma,0,4155186.0,0.0,4155186.0,0.0,2026-01-19,1.0,2026.0,0.0,SI,NO,,103879.65,0.0,4051306.0,-0.15,,,,,4051306.0,1.0,2026-01-20,103880.0,-183,183,vencida_>90
2026-01-13,2026-01-20,F,FV10033974,Bivien,0,24091074.0,4577304.0,28668378.0,45.0,2026-02-27,2.0,2026.0,0.0,NO,NO,,0.0,0.0,28668378.0,0.0,,,,,28668378.0,2.0,2026-03-03,0.0,-144,144,pagada
2026-01-19,2026-01-19,F,PK15333,Praktiplas,0,18612160.0,3536310.0,22148470.0,10.0,2026-01-29,1.0,2026.0,0.0,SI,NO,,465304.0,0.0,21683166.0,0.0,,,,,21683166.0,2.0,2026-02-03,465304.0,-173,173,vencida_>90
2026-01-19,2026-01-19,F,PK15332,Praktiplas,0,32092320.0,6097540.0,38189860.0,10.0,2026-01-29,1.0,2026.0,0.0,SI,NO,,802308.0,0.0,37387552.0,0.0,,,,,37387552.0,3.0,2026-02-12,802308.0,-173,173,vencida_>90
2026-01-19,2026-01-19,F,PK15335,Praktiplas,0,5920000.0,1124800.0,7044800.0,10.0,2026-01-29,1.0,2026.0,0.0,SI,NO,,148000.0,0.0,6896800.0,0.0,,,,,6896800.0,1.0,2026-01-27,148000.0,-173,173,vencida_>90
2026-01-20,2026-01-22,F,PK15343,Praktiplas,0,24372160.0,4630710.0,29002870.0,10.0,2026-01-30,1.0,2026.0,0.0,SI,NO,,609304.0,0.0,28393566.0,0.0,,,,,28393566.0,1.0,2026-02-06,609304.0,-172,172,vencida_>90
2026-01-20,2026-01-22,F,FE27422,Farmadisa,0,701912.0,133363.0,835275.0,60.0,2026-03-21,3.0,2026.0,0.0,NO,NO,,0.0,0.0,835275.0,0.0,,,,,835275.0,1.0,2026-03-16,0.0,-122,122,pagada
2026-01-20,2026-01-22,F,FECR373,Comercializadora Tiernitos,0,724506.0,137656.0,862162.0,30.0,2026-02-19,2.0,2026.0,0.0,SI,SI,,18112.65,5578.6962,838471.0,-0.3462,,,,,838471.0,1.0,2026-02-21,23691.0,-152,152,vencida_>90
2026-01-19,2026-01-22,R,6494,Diseños y Puntadas,0,730000.0,0.0,730000.0,30.0,2026-02-18,2.0,2026.0,0.0,SI,NO,,0.0,0.0,730000.0,0.0,,,,,730000.0,1.0,2026-02-24,0.0,-153,153,pagada
2026-01-22,2026-01-24,F,DRY542605,Softys,0,35801388.0,6802264.0,42603652.0,60.0,2026-03-23,3.0,2026.0,0.0,SI,NO,1074042.0,0.0,0.0,41529610.0,0.0,,,,,41529610.0,2.0,2026-03-30,1074042.0,-120,120,vencida_>90
2026-01-23,2026-01-25,F,BF672063,Tecnoquimicas,0,3585122.0,681173.0,4266295.0,35.0,2026-02-27,2.0,2026.0,0.0,NO,NO,,0.0,0.0,4266295.0,0.0,,,,,4266295.0,1.0,2026-02-24,0.0,-144,144,pagada
2026-01-27,2026-02-03,F,FU800619968,Comercializadora Multidrogas,0,9532300.0,0.0,9532300.0,45.0,2026-03-13,3.0,2026.0,0.0,NO,NO,500000.0,0.0,0.0,9031300.0,-1.0,,,,,9031300.0,2.0,2026-02-03,501000.0,-130,130,vencida_>90
2026-01-28,2026-02-02,F,FECR184904,Distribuidora Extra SAS,0,2532260.0,481129.0,3013389.0,30.0,2026-02-27,2.0,2026.0,0.0,SI,NO,,63306.5,0.0,2950083.0,-0.5,,,,,2950083.0,1.0,2026-01-28,63306.0,-144,144,vencida_>90
2026-01-28,2026-02-02,F,FECR184909,Distribuidora Extra SAS,0,2532260.0,481129.0,3013389.0,30.0,2026-02-27,2.0,2026.0,0.0,SI,NO,,63306.5,0.0,2950083.0,-0.5,,,,,2950083.0,1.0,2026-01-28,63306.0,-144,144,vencida_>90
2026-01-28,2026-02-02,F,FECR184915,Distribuidora Extra SAS,0,1484428.0,282041.0,1766469.0,30.0,2026-02-27,2.0,2026.0,0.0,SI,NO,,37110.7,0.0,1729358.0,0.0,,,,,1729358.0,1.0,2026-01-28,37111.0,-144,144,vencida_>90
2026-01-26,2026-01-29,F,CO366873,Option SA,0,2840880.0,0.0,2840880.0,0.0,2026-01-26,1.0,2026.0,0.0,NO,NO,,0.0,0.0,2840880.0,0.0,,,,,2840880.0,1.0,2026-01-28,0.0,-176,176,pagada
2026-01-27,2026-01-29,F,FV10035136,Bivien,0,721752.0,137132.0,858884.0,45.0,2026-03-13,3.0,2026.0,0.0,NO,NO,,0.0,0.0,858884.0,0.0,,,,,858884.0,1.0,2026-03-16,0.0,-130,130,pagada
2026-01-26,2026-01-29,F,FV10034967,Bivien,0,4344180.0,825394.0,5169574.0,45.0,2026-03-12,3.0,2026.0,0.0,NO,NO,,0.0,0.0,5169574.0,0.0,,,,,5169574.0,1.0,2026-03-16,0.0,-131,131,pagada
2026-01-22,2026-01-29,F,FV10034725,Bivien,0,7061162.0,1341620.0,8402782.0,45.0,2026-03-08,3.0,2026.0,0.0,NO,NO,,0.0,0.0,8402782.0,0.0,,,,,8402782.0,1.0,2026-03-16,0.0,-135,135,pagada
2026-01-22,2026-01-30,F,FV10034730,Bivien,0,27954018.0,5311263.0,33265281.0,45.0,2026-03-08,3.0,2026.0,0.0,NO,NO,,0.0,0.0,33265281.0,0.0,,,,,33265281.0,5.0,2026-03-16,0.0,-135,135,pagada
2026-01-28,2026-01-20,F,DRY543330,Softys,0,20130170.0,3824732.0,23954902.0,60.0,2026-03-29,3.0,2026.0,0.0,SI,NO,603905.0,0.0,0.0,23350997.0,0.0,,,,,23350997.0,2.0,2026-04-01,603905.0,-114,114,vencida_>90
2026-01-25,2026-02-02,F,BF678941,Tecnoquimicas,0,21987635.0,4177650.0,26165285.0,35.0,2026-03-01,3.0,2026.0,0.0,NO,NO,,0.0,0.0,26165285.0,0.0,,,,,26165285.0,1.0,2026-02-24,0.0,-142,142,pagada
2026-01-30,2026-02-02,F,CO367222,Option SA,0,2840880.0,0.0,2840880.0,0.0,2026-01-30,1.0,2026.0,0.0,NO,NO,,0.0,0.0,2840880.0,0.0,,,,,2840880.0,1.0,2026-01-29,0.0,-172,172,pagada
2026-01-28,2026-02-03,F,PK15410,Praktiplas,0,3909784.0,742858.0,4652642.0,10.0,2026-02-07,2.0,2026.0,0.0,SI,NO,,97744.6,0.0,4554897.0,-0.1,,,,,4554897.0,1.0,2026-02-12,97745.0,-164,164,vencida_>90
2026-01-22,2026-02-03,F,FA5980,Armaty,0,6885902.0,1308321.0,8194223.0,30.0,2026-02-21,2.0,2026.0,0.0,SI,NO,344295.1,172147.55,0.0,7677780.0,-0.1500000001,,,,,7677780.0,1.0,2026-02-21,516443.0,-150,150,vencida_>90
2026-01-30,2026-02-03,F,FE2630,Grupo Family & Home,0,12171428.0,2312571.0,14483999.0,60.0,2026-03-31,3.0,2026.0,0.0,SI,SI,,304285.7,93719.9956,14085993.0,-0.09560000002,,,,,14085993.0,1.0,2026-04-06,398006.0,-112,112,vencida_>90
2026-01-30,2026-02-03,R,3937,Grupo Family & Home,0,13320000.0,0.0,13320000.0,60.0,2026-03-31,3.0,2026.0,0.0,SI,SI,10485944.0,0.0,0.0,2834056.0,0.0,,,,,2834056.0,1.0,2026-04-24,10485944.0,-112,112,vencida_>90
2026-01-30,2026-02-03,R,432,Grupo Family & Home,0,5244000.0,0.0,5244000.0,60.0,2026-03-31,3.0,2026.0,0.0,SI,SI,,0.0,0.0,5244000.0,0.0,,,,,5244000.0,1.0,2026-04-10,0.0,-112,112,pagada
2026-01-24,2026-02-04,F,FV10034945,Bivien,0,20336148.0,3863868.0,24200016.0,45.0,2026-03-10,3.0,2026.0,0.0,NO,NO,,0.0,0.0,24200016.0,0.0,,,,,24200016.0,1.0,2026-03-20,0.0,-133,133,pagada
2026-02-03,2026-02-04,F,CR1900057931,Roma SA,0,998470.0,0.0,998470.0,45.0,2026-03-20,3.0,2026.0,0.0,NO,NO,,0.0,0.0,998470.0,0.0,,,,,998470.0,2.0,2026-03-20,0.0,-123,123,pagada
2026-02-05,2026-02-07,F,CR1900058027,Roma SA,0,8509095.0,0.0,8509095.0,45.0,2026-03-22,3.0,2026.0,0.0,NO,NO,,0.0,0.0,8509095.0,0.0,,,,,8509095.0,2.0,2026-03-20,0.0,-121,121,pagada
2026-01-30,2026-02-04,F,FE27440,Farmadisa,0,1413145.0,268498.0,1681643.0,60.0,2026-03-31,3.0,2026.0,0.0,NO,NO,,0.0,0.0,1681643.0,0.0,,,,,1681643.0,1.0,2026-03-31,0.0,-112,112,pagada
2026-02-05,2026-02-08,F,FE8350,Infantiles ABBA,0,3771035.0,716496.0,4487531.0,30.0,2026-03-07,3.0,2026.0,0.0,SI,NO,,94275.875,0.0,4393255.0,-0.075,,,,,4393255.0,1.0,2026-03-10,94276.0,-136,136,vencida_>90
