cod_interno,descripcion,categoria,marca_proveedor,venta_total,venta_bruta,costo_total,cantidad_vendida,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_promedio,acum_pct,clasificacion_abc
15107,ORGANIZADOR MILAN ARMATY,OTROS,HOGAR,210950.49,216900,172948.22999999998,3,38002.0,0.1801,70317.0,57649.0,0.996580010055279,C
15015,SONAJERO ALCANCIA 326-B183,JUGUETES Y ACCESORIOS,CHINA,1840434.6,1899000,1508957.81,131,331477.0,0.1801,14049.0,11519.0,0.9479029947915787,B
14903,COCHE PRIORI NOAH 309,COCHES Y PORTEO,CHINA,11798095.43,12305000,9674680.139999999,51,2123415.0,0.18,231335.0,189700.0,0.7568570194867668,A
14999,SET TAPPER RECTANGULAR CON VALVULA X 3,OTROS,HOGAR,769457.03,803600,631139.95,164,138317.0,0.1798,4692.0,3848.0,0.9827621765932382,C
14519,ASPIRADOR BOOGY 21483,OTROS,PANAMA,1524688.31,1568600,1250736.01,140,273952.0,0.1797,10891.0,8934.0,0.958851312831071,C
15012,TAPETE MUSICAL PIANO GRANDE GFD 210,JUGUETES Y ACCESORIOS,CHINA,1401575.66,1443200,1149928.35,19,251647.0,0.1795,73767.0,60523.0,0.963122805875874,C
15094,MESA CON BLOQUES ARMABLES PEQUENA 9063,OTROS,CHINA,279634.05,288400,229477.67,5,50156.0,0.1794,55927.0,45896.0,0.9954843445227527,C
14726,LLAMADIENTE BOOGY 21478,OTROS,PANAMA,629925.78,649600,516985.97000000003,40,112940.0,0.1793,15748.0,12925.0,0.9876043647285786,C
14742,VASO 9 OZ INFANTEC BIP 1248,OTROS,PANAMA,435697.81,450000,357632.02,45,78066.0,0.1792,9682.0,7947.0,0.992192423619214,C
12316,COCHE GEMELO ABBA REF 1127,COCHES Y PORTEO,ABBA,2916645.0300000003,2990000,2394070.0,46,522575.0,0.1792,63405.0,52045.0,0.9074892435975612,B
14156,DIDACTICO RADIO HJ 8087,OTROS,CHINA,1130380.34,1158600,928026.17,90,202354.0,0.179,12560.0,10311.0,0.9718054749551761,C
