cod_interno,descripcion,categoria_producto,ultima_venta,venta_total_hist,cantidad_ultimo_trimestre,stock_actual,costo_total_inventario,dias_sin_venta,clasificacion_rotacion,promedio_venta_mensual,meses_inventario
10240,GORRO JMA 19 - 1,OTROS,2026-06-20,1134466,12.0,468.0,1327716.0,28,ACTIVO,4.0,117.0
14186,CHILLON FUNNY X 6 BL 2306 - 113,OTROS,2026-07-08,2041282,44.0,182.0,1325142.0,10,ACTIVO,14.67,12.4
14172,RED CHILLON X 3 FUNNY BL 2306 - 99,OTROS,2026-07-10,969424,2.0,172.0,1316316.0,8,ACTIVO,0.67,256.7
13312,ENTRETENEDOR DR GYM BL 2306 - 55,OTROS,2026-07-17,1454895,49.0,438.0,1298670.0,1,ACTIVO,16.33,26.8
14520,ENTRETENEDOR CADENA BOOGY 21485,OTROS,2026-07-11,1025400,16.0,241.0,1287904.0,7,ACTIVO,5.33,45.2
14542,ENTRETENEDOR X 2 BOOGY 33262,OTROS,2026-07-11,1025100,20.0,226.0,1280290.0,7,ACTIVO,6.67,33.9
9756,ACEITE ARRURRU X 200,ESTUCHES Y KITS REGALO,2026-07-16,15415810,86.0,88.0,1275560.0,2,ACTIVO,28.67,3.1
3101,ENTRETENEDOR INFANTEC BIP 1087,OTROS,2026-06-26,743230,3.0,218.0,1270940.0,22,ACTIVO,1.0,218.0
14014,TETERO ONLY 2 ONZ A 60,BIBERONES Y EXTRACTORES,2026-07-18,9105604,632.0,373.0,1266335.0,0,ACTIVO,210.67,1.8
13344,MEDIA X 3 BABY LUCK J 2204057,ROPA Y TEXTIL,2026-07-16,3399414,8.0,253.0,1264241.0,2,ACTIVO,2.67,94.8
14549,CEPILLO PEINE BOOGY 33463,OTROS,2026-06-18,707600,4.0,234.0,1251432.0,30,ACTIVO,1.33,175.9
2271,LLAMADIENTES INFANTEC GBW 0817,OTROS,2026-07-17,764081,41.0,279.0,1230111.0,1,ACTIVO,13.67,20.4
12403,SET CUCHARAS BOOGY 20647,OTROS,2026-07-01,251020,14.0,141.0,1221342.0,17,ACTIVO,4.67,30.2
14541,ENTRETENEDOR CADENA BOOGY 33261,OTROS,2026-07-14,630200,13.0,254.0,1172464.0,4,ACTIVO,4.33,58.7
14155,DIDACTICO MINI CAMERA HJ 8029,OTROS,2026-07-06,1811711,4.0,150.0,1150350.0,12,ACTIVO,1.33,112.8
14220,MOVIL PASTA HARMONIOUS BL 2306 - 244,OTROS,2026-07-16,1993108,3.0,58.0,1145732.0,2,ACTIVO,1.0,58.0
14156,DIDACTICO RADIO HJ 8087,OTROS,2026-07-06,1158600,30.0,120.0,1140000.0,12,ACTIVO,10.0,12.0
